rajnish_video1.webm.mp4,9984,CALM:99.69447 | SURPRISED:6.271214 | FEAR:5.891434 | SAD:2.1703217 | CONFUSED:0.08768153 | ANGRY:0.030997256 | DISGUSTED:0.018121589 | HAPPY:0.0073819333 | ,width: 0.22708654 | height: 0.5468846left: 0.4247078 | top: 0.17262578
rajnish_video1.webm.mp4,10468,CALM:80.19062 | FEAR:8.018371 | CONFUSED:7.846777 | SURPRISED:7.00049 | SAD:2.9060512 | ANGRY:1.2841508 | DISGUSTED:1.1621529 | HAPPY:0.9596823 | ,width: 0.22289352 | height: 0.55549586left: 0.4282526 | top: 0.16390423
rajnish_video1.webm.mp4,10986,CALM:96.48384 | SURPRISED:6.4986954 | FEAR:6.0512366 | SAD:2.3359587 | CONFUSED:1.2013311 | ANGRY:0.39028564 | DISGUSTED:0.23427948 | HAPPY:0.13651977 | ,width: 0.23044014 | height: 0.55161315left: 0.42331848 | top: 0.16375194
rajnish_video1.webm.mp4,11469,FEAR:84.96409 | CALM:28.049452 | SURPRISED:7.3653827 | SAD:2.395753 | CONFUSED:1.0963554 | ANGRY:0.45805004 | DISGUSTED:0.27349263 | HAPPY:0.18564273 | ,width: 0.22280368 | height: 0.54948694left: 0.43158787 | top: 0.1654516
rajnish_video1.webm.mp4,11988,CALM:98.82058 | SURPRISED:6.4594173 | FEAR:5.929103 | SAD:2.2146382 | CONFUSED:0.21735778 | ANGRY:0.10354554 | DISGUSTED:0.058488727 | HAPPY:0.02659807 | ,width: 0.23064585 | height: 0.55419266left: 0.42230973 | top: 0.16624501
rajnish_video1.webm.mp4,12471,CALM:92.45475 | SURPRISED:8.628278 | FEAR:6.3211703 | SAD:2.3694735 | CONFUSED:0.62190956 | ANGRY:0.5260407 | DISGUSTED:0.3059468 | HAPPY:0.18548952 | ,width: 0.22805777 | height: 0.56483024left: 0.4270146 | top: 0.16771486
rajnish_video1.webm.mp4,12990,CALM:99.288734 | SURPRISED:6.3579283 | FEAR:5.90154 | SAD:2.1871076 | CONFUSED:0.14598945 | ANGRY:0.08942169 | DISGUSTED:0.04287363 | HAPPY:0.019248115 | ,width: 0.22493124 | height: 0.5447858left: 0.4283924 | top: 0.16902919
rajnish_video1.webm.mp4,13473,CALM:86.86683 | SURPRISED:10.096362 | FEAR:6.7231884 | CONFUSED:2.7253768 | SAD:2.3679857 | ANGRY:0.85409796 | DISGUSTED:0.41646874 | HAPPY:0.24175833 | ,width: 0.2261239 | height: 0.56347877left: 0.43510836 | top: 0.16459012
rajnish_video1.webm.mp4,13991,CALM:96.10275 | SURPRISED:7.3390126 | FEAR:6.1389995 | SAD:2.2421951 | CONFUSED:0.43525314 | ANGRY:0.21378651 | DISGUSTED:0.1612067 | HAPPY:0.08223623 | ,width: 0.22276822 | height: 0.55645174left: 0.42354307 | top: 0.16400427
rajnish_video1.webm.mp4,14475,CALM:97.2546 | SURPRISED:6.91989 | FEAR:5.9860024 | SAD:2.2311206 | CONFUSED:0.546254 | ANGRY:0.19458738 | DISGUSTED:0.11448909 | HAPPY:0.055789657 | ,width: 0.2236392 | height: 0.54610056left: 0.42590275 | top: 0.16349767
rajnish_video1.webm.mp4,14993,CALM:93.37982 | FEAR:7.4166956 | SURPRISED:6.879477 | SAD:2.2855256 | CONFUSED:0.776221 | ANGRY:0.22410427 | DISGUSTED:0.18813689 | HAPPY:0.07752248 | ,width: 0.2219102 | height: 0.53257424left: 0.4239275 | top: 0.16275962
rajnish_video1.webm.mp4,15477,CALM:97.19471 | SURPRISED:6.4826975 | FEAR:5.9806485 | SAD:2.2915683 | CONFUSED:1.075578 | ANGRY:0.2595075 | DISGUSTED:0.21830979 | HAPPY:0.052188754 | ,width: 0.21882229 | height: 0.5263369left: 0.42556542 | top: 0.16064699
rajnish_video1.webm.mp4,15995,CALM:94.52851 | SURPRISED:6.564416 | FEAR:6.127871 | SAD:2.5459046 | CONFUSED:2.228876 | DISGUSTED:0.34407502 | ANGRY:0.31923914 | HAPPY:0.08348426 | ,width: 0.21524343 | height: 0.5160987left: 0.42819524 | top: 0.16337183
rajnish_video1.webm.mp4,16479,CALM:97.87811 | SURPRISED:6.3915477 | FEAR:5.96683 | SAD:2.306646 | CONFUSED:0.7590133 | ANGRY:0.16377473 | DISGUSTED:0.12632999 | HAPPY:0.03837067 | ,width: 0.2155467 | height: 0.5231572left: 0.4336815 | top: 0.15638801
rajnish_video1.webm.mp4,16997,CALM:98.7325 | SURPRISED:6.4169893 | FEAR:6.106975 | SAD:2.1783297 | CONFUSED:0.108228914 | ANGRY:0.053943723 | DISGUSTED:0.040770985 | HAPPY:0.022760471 | ,width: 0.22452708 | height: 0.5298328left: 0.43044814 | top: 0.1826993
rajnish_video1.webm.mp4,17481,CALM:99.13729 | SURPRISED:6.2858133 | FEAR:5.9249854 | SAD:2.193521 | CONFUSED:0.32408082 | DISGUSTED:0.08719934 | ANGRY:0.069502115 | HAPPY:0.02579403 | ,width: 0.22074404 | height: 0.53173983left: 0.4359699 | top: 0.17323524
rajnish_video1.webm.mp4,17999,CALM:99.309074 | SURPRISED:6.2901826 | FEAR:5.984497 | SAD:2.1823676 | CONFUSED:0.09024211 | ANGRY:0.051975932 | DISGUSTED:0.042998 | HAPPY:0.019176435 | ,width: 0.22721072 | height: 0.53782left: 0.43572807 | top: 0.17414746
rajnish_video1.webm.mp4,18483,CALM:97.09218 | SURPRISED:6.3775444 | FEAR:6.246491 | SAD:2.2429872 | CONFUSED:1.0309937 | DISGUSTED:0.15503164 | ANGRY:0.12083079 | HAPPY:0.067646004 | ,width: 0.22426423 | height: 0.54319054left: 0.438107 | top: 0.17546226
rajnish_video1.webm.mp4,18966,CALM:75.29324 | FEAR:15.309927 | SURPRISED:7.910808 | SAD:2.6865034 | CONFUSED:2.1526268 | ANGRY:0.8651681 | DISGUSTED:0.70933264 | HAPPY:0.5924659 | ,width: 0.22480878 | height: 0.5518586left: 0.4299918 | top: 0.16923429
rajnish_video1.webm.mp4,19485,CALM:61.050255 | FEAR:30.04765 | SURPRISED:8.70649 | SAD:2.604342 | CONFUSED:2.4964807 | DISGUSTED:0.9787122 | ANGRY:0.80241036 | HAPPY:0.4047931 | ,width: 0.22421408 | height: 0.55665386left: 0.42877823 | top: 0.17044203
rajnish_video1.webm.mp4,19968,CALM:77.73548 | FEAR:15.373194 | SURPRISED:7.8282175 | SAD:2.46676 | CONFUSED:1.4126345 | DISGUSTED:0.4879756 | ANGRY:0.46445537 | HAPPY:0.18511258 | ,width: 0.23043832 | height: 0.5487365left: 0.4276692 | top: 0.16953354
rajnish_video1.webm.mp4,20487,CALM:92.96589 | FEAR:7.3857603 | SURPRISED:7.1866555 | SAD:2.2778375 | CONFUSED:0.5985283 | DISGUSTED:0.3183769 | ANGRY:0.20313287 | HAPPY:0.10589674 | ,width: 0.22837572 | height: 0.558898left: 0.42589802 | top: 0.16725498
rajnish_video1.webm.mp4,20970,CALM:96.99392 | SURPRISED:6.624291 | FEAR:6.2088428 | SAD:2.2129452 | CONFUSED:0.8069474 | ANGRY:0.17038707 | DISGUSTED:0.15583515 | HAPPY:0.060954474 | ,width: 0.22640038 | height: 0.5514154left: 0.4268133 | top: 0.17390743
rajnish_video1.webm.mp4,21488,CALM:99.03533 | SURPRISED:6.2916875 | FEAR:5.9561486 | SAD:2.2074423 | CONFUSED:0.29485813 | DISGUSTED:0.08005752 | ANGRY:0.0659698 | HAPPY:0.027735595 | ,width: 0.2281392 | height: 0.5596891left: 0.4229311 | top: 0.17045228
rajnish_video1.webm.mp4,21972,CALM:98.54439 | SURPRISED:6.3292103 | FEAR:6.0064535 | SAD:2.21421 | CONFUSED:0.42412466 | ANGRY:0.13071068 | DISGUSTED:0.1274399 | HAPPY:0.048487533 | ,width: 0.22831412 | height: 0.5527356left: 0.4294867 | top: 0.17081061
rajnish_video1.webm.mp4,22490,CALM:96.92544 | FEAR:6.658938 | SURPRISED:6.519789 | SAD:2.1861022 | CONFUSED:0.19945718 | ANGRY:0.09738346 | DISGUSTED:0.0897071 | HAPPY:0.04691976 | ,width: 0.23045644 | height: 0.5538045left: 0.42510438 | top: 0.17338528
rajnish_video1.webm.mp4,22974,CALM:57.752735 | FEAR:42.14081 | SURPRISED:8.413744 | SAD:2.295914 | CONFUSED:0.6555382 | DISGUSTED:0.30316374 | ANGRY:0.28497452 | HAPPY:0.21020517 | ,width: 0.22810125 | height: 0.5557444left: 0.42918497 | top: 0.17252782
rajnish_video1.webm.mp4,23492,CALM:83.585625 | FEAR:12.687433 | SURPRISED:7.3836737 | SAD:2.2532747 | CONFUSED:0.7506674 | ANGRY:0.27028912 | DISGUSTED:0.23789273 | HAPPY:0.14981833 | ,width: 0.22835465 | height: 0.55466235left: 0.42812228 | top: 0.17213169
rajnish_video1.webm.mp4,23976,CALM:99.6979 | SURPRISED:6.270054 | FEAR:5.899248 | SAD:2.164281 | CONFUSED:0.059817366 | DISGUSTED:0.038285505 | ANGRY:0.033953592 | HAPPY:0.009968153 | ,width: 0.23326597 | height: 0.548462left: 0.41901392 | top: 0.17532484
rajnish_video1.webm.mp4,24494,CALM:96.081924 | SURPRISED:7.224797 | FEAR:6.046258 | SAD:2.243826 | HAPPY:0.4673687 | CONFUSED:0.32765475 | DISGUSTED:0.32693717 | ANGRY:0.22392121 | ,width: 0.23682013 | height: 0.5662687left: 0.41310486 | top: 0.17403513
rajnish_video1.webm.mp4,24978,CALM:98.25975 | SURPRISED:6.4556956 | FEAR:5.9944134 | SAD:2.2669506 | CONFUSED:0.24460536 | DISGUSTED:0.24266735 | ANGRY:0.10055432 | HAPPY:0.045450162 | ,width: 0.22728471 | height: 0.53668684left: 0.4017172 | top: 0.18945096
rajnish_video1.webm.mp4,25496,CALM:82.372734 | SURPRISED:9.6356325 | FEAR:7.4117355 | SAD:3.0417182 | CONFUSED:2.8432758 | ANGRY:1.217047 | DISGUSTED:1.158903 | HAPPY:0.7501775 | ,width: 0.23932008 | height: 0.54911584left: 0.40417176 | top: 0.1797253
rajnish_video1.webm.mp4,25980,CALM:99.498436 | SURPRISED:6.2763743 | FEAR:5.90388 | SAD:2.1751814 | CONFUSED:0.17360382 | DISGUSTED:0.052769862 | ANGRY:0.04066832 | HAPPY:0.01359181 | ,width: 0.22966023 | height: 0.53782773left: 0.41534382 | top: 0.1835027
rajnish_video1.webm.mp4,26498,CALM:99.22815 | SURPRISED:6.283245 | FEAR:5.916462 | SAD:2.1771448 | CONFUSED:0.34554088 | DISGUSTED:0.08575335 | ANGRY:0.0444642 | HAPPY:0.021448346 | ,width: 0.22354165 | height: 0.5513964left: 0.4306541 | top: 0.17404836
rajnish_video1.webm.mp4,26982,CALM:85.66172 | SURPRISED:9.185007 | FEAR:7.23742 | CONFUSED:3.6633043 | SAD:2.4975805 | DISGUSTED:0.6838189 | ANGRY:0.47319004 | HAPPY:0.2751729 | ,width: 0.2194889 | height: 0.5470587left: 0.42890424 | top: 0.17585178
rajnish_video1.webm.mp4,27465,CALM:97.60301 | SURPRISED:6.442322 | FEAR:6.0482187 | SAD:2.2600622 | CONFUSED:0.7651473 | DISGUSTED:0.24273412 | ANGRY:0.119861044 | HAPPY:0.068190016 | ,width: 0.22377901 | height: 0.54246646left: 0.43007588 | top: 0.17232132
rajnish_video1.webm.mp4,27983,CALM:97.141075 | SURPRISED:6.456037 | FEAR:6.022977 | SAD:2.2612562 | CONFUSED:1.2877811 | DISGUSTED:0.19268063 | ANGRY:0.14049552 | HAPPY:0.073024414 | ,width: 0.21830349 | height: 0.5511675left: 0.4308053 | top: 0.17305358
monika_kumari_video1.webm.mp4,0,CALM:99.02981 | SURPRISED:6.284262 | FEAR:5.8955035 | SAD:2.2578554 | HAPPY:0.2503183 | ANGRY:0.09943383 | CONFUSED:0.08534692 | DISGUSTED:0.054036498 | ,width: 0.20246509 | height: 0.46717173left: 0.39841935 | top: 0.31965017
monika_kumari_video1.webm.mp4,461,CALM:98.99122 | SURPRISED:6.28584 | FEAR:5.893836 | SAD:2.2375638 | HAPPY:0.36615503 | ANGRY:0.10560588 | CONFUSED:0.06833609 | DISGUSTED:0.053632237 | ,width: 0.20362452 | height: 0.46954617left: 0.39707577 | top: 0.31704965
